text,category,id,verified,answerType,createdAt,updatedAt
"Who invented the telephone?",General,1,1,General,"2018-10-03 20:29:15","2018-10-03 20:29:15"
"Which finger nail grows the fastest?",General,2,1,General,"2018-10-06 10:41:05","2018-10-06 10:41:05"
"What temperature does water boil at?",General,3,1,General,"2018-10-06 10:41:26","2018-10-06 10:41:26"
"Who discovered penicillin?",General,4,1,General,"2018-10-06 10:41:50","2018-10-06 10:41:50"
"What Spanish artist said he would eat his wife when she died?",General,5,1,General,"2018-10-06 10:42:34","2018-10-06 10:42:34"
"Who wrote Julius Caesar, Macbeth and Hamlet?",General,6,1,General,"2018-10-06 10:42:52","2018-10-06 10:42:52"
"What did the crocodile swallow in Peter Pan?",General,7,1,General,"2018-10-06 10:43:30","2018-10-06 10:43:30"
"Where was Lope de Vega born?",General,8,1,General,"2018-10-06 10:43:30","2018-10-06 10:43:30"
"Who did Lady Diana Spencer marry? (Prince Charles)",General,9,1,General,"2018-10-06 10:44:27","2018-10-06 10:44:27"
"Which is the only mammal that canâ€™t jump?",General,10,1,General,"2018-10-06 10:45:29","2018-10-06 10:45:29"
